Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1695517597,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1695517598,500,,Aggregated,0.000000,0.000000,750,800,830,860,890,910,910,910,910,910,910,24,0,730.0,751.675164333316,502.04944200049795,909.8178710000866,246.45833333333334
1695517599,500,,Aggregated,0.000000,0.000000,1500,1500,1500,1500,1700,1800,1900,1900,1900,1900,1900,255,111,1500.0,1329.0576095255078,502.04944200049795,1919.5584750004855,150.50980392156862
1695517600,500,,Aggregated,23.000000,0.000000,1500,1700,1900,2100,2500,2700,2800,2900,2900,2900,2900,336,111,1500.0,1581.1091473512015,502.04944200049795,2885.0073220000922,170.95238095238096
1695517601,500,,Aggregated,126.500000,55.500000,1500,2100,2500,2800,3200,3500,3700,3700,3800,3800,3800,419,111,1500.0,1898.3795384367756,502.04944200049795,3751.3866290000806,187.2601431980907
1695517602,500,,Aggregated,111.666667,37.000000,1700,1900,2400,2800,3300,3600,3900,4200,4600,4600,4600,493,111,1700.0,1938.3939930912998,502.04944200049795,4572.928214000058,200.8843813387424
1695517603,500,,Aggregated,104.000000,27.750000,1800,1900,2300,2700,3200,3600,4100,4300,5700,5700,5700,578,111,1800.0,1949.9823724861728,502.04944200049795,5673.914224999862,208.60726643598616
1695517604,500,,Aggregated,98.200000,22.200000,1800,1900,2500,2700,3200,3600,3900,4300,6100,6100,6100,664,111,1800.0,1971.4583427545194,502.04944200049795,6097.869095000533,215.06927710843374
1695517605,500,,Aggregated,96.000000,18.500000,1800,1900,2600,2700,3200,3700,4600,4800,6900,6900,6900,745,111,1800.0,2039.1382146228184,502.04944200049795,6924.24194799969,220.76107382550336
1695517606,500,,Aggregated,94.285714,15.857143,1800,2100,2700,2800,3400,4100,4900,5200,6900,6900,6900,824,111,1800.0,2127.024464793694,502.04944200049795,6924.24194799969,225.95752427184465
1695517607,500,,Aggregated,92.750000,13.875000,1800,2200,2700,2900,3500,4800,5000,5400,6900,6900,6900,896,111,1800.0,2185.278368375007,502.04944200049795,6924.24194799969,228.57254464285714
1695517608,500,,Aggregated,91.111111,12.333333,1800,2200,2700,2900,3500,4800,5000,5700,7000,7000,7000,969,111,1800.0,2204.077214239426,502.04944200049795,6958.600763000504,233.3622291021672
1695517609,500,,Aggregated,89.200000,11.100000,1800,2300,2800,2900,3500,4800,5100,5700,7900,7900,7900,1048,111,1800.0,2233.791775404583,502.04944200049795,7946.891477999998,235.67080152671755
1695517610,500,,Aggregated,94.300000,11.100000,1900,2500,2800,2900,3700,4900,5300,6000,9600,9900,9900,1116,111,1900.0,2305.068090643373,502.04944200049795,9932.386159000089,234.99014336917563
1695517611,500,,Aggregated,78.800000,0.000000,1900,2600,2900,2900,3700,4900,5700,7900,9900,11000,11000,1195,111,1900.0,2369.6158217272,502.04944200049795,10712.460732000181,236.6652719665272
1695517612,500,,Aggregated,77.500000,0.000000,1900,2700,2900,3000,4800,5300,14000,14000,15000,15000,15000,1294,134,1900.0,2667.9209256692493,502.04944200049795,14650.975936000577,233.74111282843896
1695517613,500,,Aggregated,77.600000,0.000000,1900,2700,2900,3100,4900,5700,11000,14000,15000,15000,15000,1362,134,1900.0,2724.045483230551,502.04944200049795,14650.975936000577,234.97723935389135
