Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1695351477,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1695351478,500,,Aggregated,0.000000,0.000000,580,740,770,790,890,910,920,930,940,940,940,110,0,570.0,628.1280189454635,363.2732490000308,939.9604390000604,279.5181818181818
1695351479,500,,Aggregated,0.000000,0.000000,1100,1300,1400,1600,1700,1800,1800,1900,1900,1900,1900,273,0,1100.0,1084.4289244835165,363.2732490000308,1893.9718310000444,269.61538461538464
1695351480,500,,Aggregated,0.000000,0.000000,1200,1600,1900,2100,2400,2500,2700,2700,2700,2700,2700,430,0,1200.0,1326.7300960674427,363.2732490000308,2721.565993000013,259.84418604651165
1695351481,500,,Aggregated,77.000000,0.000000,1000,1600,1900,2100,2700,3700,3800,3800,3800,3800,3800,605,0,1000.0,1328.577762494215,248.24108000007072,3845.4431689999637,263.0380165289256
1695351482,500,,Aggregated,99.333333,0.000000,870,1500,2000,2200,3700,3900,4000,4100,4400,4400,4400,783,0,870.0,1419.1188815351225,248.24108000007072,4437.411047000069,264.59003831417624
1695351483,500,,Aggregated,118.500000,0.000000,820,1300,1800,2100,3700,3900,4300,4900,5700,5700,5700,963,0,820.0,1392.387011581515,248.24108000007072,5727.627380000058,261.3509865005192
1695351484,500,,Aggregated,129.000000,0.000000,810,1100,1700,1900,3600,3900,4100,4900,5700,5700,5700,1140,0,810.0,1306.5329727842081,248.24108000007072,5727.627380000058,257.99298245614034
1695351485,500,,Aggregated,137.500000,0.000000,790,850,1400,1800,2700,3900,4100,4900,5700,5700,5700,1315,0,790.0,1240.1349431148287,248.24108000007072,5727.627380000058,255.7528517110266
1695351486,500,,Aggregated,143.142857,0.000000,800,830,1200,1600,2400,3800,4100,4900,5700,5700,5700,1495,0,800.0,1188.79793989097,248.24108000007072,5727.627380000058,257.82341137123746
1695351487,500,,Aggregated,147.375000,0.000000,790,820,1000,1400,2400,3800,4000,4900,5700,5700,5700,1674,0,790.0,1142.323292765233,248.24108000007072,5727.627380000058,257.1188769414576
1695351488,500,,Aggregated,150.555556,0.000000,780,810,850,1200,2100,3700,4000,4400,5700,5700,5700,1855,0,780.0,1103.1050548981123,248.24108000007072,5727.627380000058,258.577897574124
1695351489,500,,Aggregated,153.500000,0.000000,780,810,840,1100,2100,3700,4000,4300,5100,5700,5700,2031,0,780.0,1080.2386845100916,248.24108000007072,5727.627380000058,257.4327917282127
1695351490,500,,Aggregated,171.800000,0.000000,780,810,870,1100,2100,3700,4000,4300,5100,5700,5700,2151,0,780.0,1075.8907569353778,248.24108000007072,5727.627380000058,257.2236169223617
1695351491,500,,Aggregated,174.200000,0.000000,790,820,1000,1200,2000,3700,4000,4100,5100,5700,5700,2269,0,790.0,1084.0928925328342,248.24108000007072,5727.627380000058,258.4363155575143
1695351492,500,,Aggregated,176.400000,0.000000,790,850,1100,1200,2000,3500,3900,4100,5100,5700,5700,2422,0,790.0,1093.142935440133,248.24108000007072,5727.627380000058,258.5
1695351493,500,,Aggregated,170.400000,0.000000,800,940,1100,1200,2100,2700,3900,4100,5100,5700,5700,2544,0,800.0,1107.8267001741356,248.24108000007072,5727.627380000058,257.47759433962267
